sep=;
Nama;Kategori;Harga Beli;Harga Jual;Stok;Stok Minimum;Satuan;SKU;Barcode
Indomie Goreng;Makanan;2500;3000;50;10;pcs;IDM-001;8992760110010
Indomie Ayam Bawang;Makanan;2500;3000;40;10;pcs;IDM-002;8992760110027
Mie Sedaap Goreng;Makanan;2800;3500;35;8;pcs;SDP-001;8992700450018
Mie Sedaap Kari;Makanan;2800;3500;30;8;pcs;SDP-002;8992700450025
Beras Rojo Lele 1kg;Sembako;12500;14000;20;5;pcs;BRS-001;8991002104826
Beras Pandan Wangi 1kg;Sembako;13500;15000;15;5;pcs;BRS-002;8991002104833
Telur Ayam 1kg;Sembako;27000;29000;12;4;kg;TLR-001;8992103501011
Gula Pasir 1kg;Sembako;16000;17500;18;5;pcs;GLP-001;8997212415006
Minyak Goreng 1L;Sembako;17000;18000;22;6;pcs;MNK-001;8992742123012
Tepung Terigu 1kg;Sembako;9000;10000;14;5;pcs;TPG-001;8995026010055
Saus ABC 135ml;Bumbu;13000;15000;18;4;pcs;ABC-001;8992710501256
Saus Sambal 100ml;Bumbu;5000;7000;20;5;pcs;SBL-001;8992710501607
Kecap Manis 600ml;Bumbu;13500;15000;12;4;pcs;KCP-001;8992855008000
Garam Dapur 500g;Bumbu;2000;3000;30;10;pcs;GRM-001;8996001400054
Margarin 225g;Bumbu;6000;8000;15;4;pcs;MRG-001;8996016010016
Teh Botol 250ml;Minuman;1600;2500;60;15;pcs;THB-001;8992488123006
Teh Kotak 350ml;Minuman;3000;4000;45;12;pcs;THK-001;8992485130012
Air Mineral 330ml;Minuman;2700;3500;72;20;pcs;AME-001;8999140501006
Air Mineral 600ml;Minuman;3000;3500;60;15;pcs;AME-002;8999140501013
Air Mineral Galon 19L;Minuman;10000;15000;8;2;galon;AME-003;8999140501020
Kopi Sachet 20g;Minuman;1000;1500;80;20;pcs;KPI-001;8998152001025
Kopi Instan 3 in 1 22g;Minuman;1500;2000;60;15;pcs;KPI-002;8998152002015
Susu UHT 250ml;Susu;5000;6500;30;8;pcs;SMK-001;8993557222511
Susu Kental Manis 370ml;Susu;9000;12000;20;5;pcs;SKM-001;8998100001234
Biscuit Biskuit 200g;Snack;8000;10000;25;6;pcs;BSK-001;8993301402006
Biscuit Romaji 150g;Snack;6000;8000;30;8;pcs;BSK-002;8993301402001
Kacang Panggang 100g;Snack;5000;8000;28;6;pcs;KCN-001;8991801010034
Keripik Singkong 90g;Snack;4000;5000;24;5;pcs;KRK-001;8990193402345
Roti Coklat 70g;Snack;3500;5000;32;8;pcs;RTI-001;8993105910012
Roti Gandum 300g;Sembako;23000;26000;9;3;pcs;RTG-001;8993106503004
